                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.1481,                  1.952,                 0.8863,                 1.3517,                0.87618,                0.78665,                0.86577,                0.60445,                0.87283,                0.78309,                0.86076,                 0.5452,                 1.1273,                 1.9679,                0.86612,                 1.3515,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.1447,                 1.9237,                0.86904,                 1.3477,                0.89421,                0.79809,                0.87713,                0.62343,                0.89589,                 0.7898,                 0.8715,                0.55397,                 1.0767,                 1.9334,                 0.8245,                 1.3378,               0.008812,               0.008812,               0.008812
                     26,                 1.1174,                 1.8913,                 0.8487,                 1.3276,                0.88043,                0.79447,                0.87745,                0.61604,                0.87876,                0.79007,                0.87257,                0.56251,                 1.0941,                 1.9082,                0.83738,                 1.3302,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.1246,                 1.8885,                0.84189,                 1.3197,                0.88687,                0.81272,                0.88859,                0.64268,                0.88297,                 0.8061,                0.87681,                 0.5772,                 1.0443,                 1.8485,                0.77572,                 1.3061,               0.008713,               0.008713,               0.008713
                     28,                 1.0999,                 1.8497,                0.82131,                  1.303,                0.89889,                0.82032,                0.88792,                0.64231,                0.89942,                0.81613,                0.88746,                0.58132,                 1.0434,                 1.8562,                0.77048,                 1.2911,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.0998,                 1.8527,                 0.8228,                 1.3032,                0.90453,                0.81618,                0.89407,                0.65467,                0.90233,                0.81231,                0.88956,                0.58788,                 1.0245,                 1.8276,                0.75457,                  1.271,               0.008614,               0.008614,               0.008614
                     30,                  1.078,                 1.8275,                0.78938,                 1.2843,                0.90171,                0.82213,                0.89611,                0.65138,                0.90563,                0.81463,                 0.8911,                0.58523,                 1.0451,                 1.8078,                0.76581,                 1.2812,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.0639,                 1.8073,                0.80127,                 1.2723,                0.90639,                0.82105,                0.89187,                 0.6576,                0.90133,                0.81412,                0.88304,                0.58976,                 1.0102,                 1.7999,                0.74234,                  1.258,               0.008515,               0.008515,               0.008515
                     32,                 1.0541,                 1.7865,                0.77635,                 1.2609,                0.89727,                0.83764,                 0.9017,                 0.6664,                0.89182,                0.83557,                0.89478,                0.60268,                0.99026,                  1.753,                0.71142,                 1.2479,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.0522,                 1.7782,                0.78211,                 1.2603,                0.90226,                0.83764,                0.90566,                0.67032,                0.89941,                0.83919,                0.89896,                0.59812,                0.99619,                 1.7766,                0.70793,                 1.2421,               0.008416,               0.008416,               0.008416
