                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 0.7572,                 1.2875,                0.50309,                 1.0317,                 0.9449,                  0.894,                0.94052,                0.80394,                0.94492,                 0.8971,                0.94049,                0.73812,                0.66103,                 1.2958,                0.45478,                 1.0095,               0.004951,               0.004951,               0.004951
                    104,                0.75189,                 1.2695,                0.49628,                 1.0305,                0.95306,                0.88705,                0.94121,                0.80469,                0.95158,                0.89415,                0.93951,                 0.7357,                0.66193,                 1.2924,                 0.4541,                 1.0118,              0.0049015,              0.0049015,              0.0049015
                    105,                0.74347,                 1.2532,                0.48971,                 1.0232,                0.95359,                0.88806,                0.94078,                0.80338,                0.95609,                0.88938,                0.94012,                0.73908,                0.65799,                 1.2795,                0.44815,                 1.0081,               0.004852,               0.004852,               0.004852
                    106,                0.75361,                 1.2677,                0.50196,                 1.0321,                0.95505,                 0.8865,                0.94037,                 0.8083,                0.94957,                0.89564,                0.94056,                0.73815,                0.64797,                 1.2746,                0.44728,                 1.0021,              0.0048025,              0.0048025,              0.0048025
                    107,                0.75333,                 1.2783,                0.50406,                 1.0297,                0.95558,                 0.8865,                 0.9421,                 0.8078,                0.95621,                0.88935,                0.94132,                0.74129,                0.64851,                 1.2736,                0.44313,                 1.0034,               0.004753,               0.004753,               0.004753
                    108,                0.75157,                 1.2761,                 0.4982,                 1.0302,                0.95199,                0.89012,                0.94171,                0.80892,                0.95199,                0.89012,                0.94106,                0.74117,                0.64548,                  1.273,                0.44321,                 1.0041,              0.0047035,              0.0047035,              0.0047035
                    109,                0.74174,                 1.2586,                0.49553,                 1.0244,                0.95435,                0.88635,                0.94135,                 0.8088,                0.95244,                0.89055,                0.94139,                 0.7412,                0.64625,                 1.2655,                0.44181,                 1.0037,               0.004654,               0.004654,               0.004654
                    110,                0.74335,                 1.2621,                0.49242,                  1.024,                0.95377,                0.88533,                0.94109,                0.80741,                 0.9481,                0.88317,                0.93385,                0.73791,                0.64248,                   1.27,                0.44158,                  1.002,              0.0046045,              0.0046045,              0.0046045
                    111,                0.73585,                 1.2522,                 0.4852,                  1.017,                 0.9499,                 0.8878,                0.94143,                0.80925,                0.94412,                0.88444,                0.93358,                0.74028,                0.63918,                 1.2694,                0.44203,                 1.0004,               0.004555,               0.004555,               0.004555
                    112,                0.72834,                 1.2305,                0.47857,                 1.0155,                0.95285,                0.88806,                0.94173,                0.80906,                0.94636,                0.88806,                0.93402,                0.74122,                0.64099,                 1.2736,                0.44366,                 1.0009,              0.0045055,              0.0045055,              0.0045055
                    113,                0.73485,                 1.2495,                0.48216,                 1.0238,                0.95814,                0.88769,                0.94147,                0.80838,                0.95003,                0.88475,                0.93459,                0.74096,                0.64016,                 1.2671,                0.44241,                0.99969,               0.004456,               0.004456,               0.004456
                    114,                0.73072,                 1.2381,                0.48191,                 1.0208,                0.95857,                0.88857,                0.94218,                 0.8105,                0.95431,                0.88548,                0.93473,                0.74105,                0.64188,                 1.2677,                0.44079,                 1.0013,              0.0044065,              0.0044065,              0.0044065
                    115,                0.72707,                 1.2416,                0.47672,                 1.0114,                0.95245,                0.89066,                0.94264,                 0.8097,                0.94859,                0.88729,                0.93422,                0.74177,                0.64236,                 1.2653,                0.44503,                0.99976,               0.004357,               0.004357,               0.004357
                    116,                0.71738,                 1.2228,                0.47022,                 1.0051,                 0.9519,                0.89168,                0.94213,                 0.8095,                0.95311,                0.88392,                0.93471,                0.74209,                0.64026,                 1.2666,                 0.4407,                0.99867,              0.0043075,              0.0043075,              0.0043075
                    117,                0.72059,                 1.2267,                0.47157,                 1.0122,                0.95579,                0.88961,                0.94378,                0.81064,                0.95319,                0.88573,                0.93424,                 0.7424,                0.63659,                 1.2611,                0.44078,                0.99624,               0.004258,               0.004258,               0.004258
                    118,                 0.7207,                 1.2272,                 0.4762,                  1.009,                0.95435,                 0.8918,                0.94313,                0.80962,                0.94677,                0.89349,                 0.9407,                0.74394,                0.63463,                 1.2568,                0.43834,                0.99462,              0.0042085,              0.0042085,              0.0042085
                    119,                0.72727,                 1.2409,                0.47608,                 1.0134,                0.94412,                0.89549,                0.94295,                 0.8105,                0.94474,                0.89633,                0.94098,                0.74618,                0.63238,                 1.2544,                0.43809,                0.99405,               0.004159,               0.004159,               0.004159
                    120,                  0.713,                 1.2184,                 0.4668,                 1.0018,                0.94699,                0.89349,                0.94238,                 0.8112,                0.94253,                0.89035,                0.93438,                0.74321,                   0.63,                 1.2567,                0.43693,                0.99323,              0.0041095,              0.0041095,              0.0041095
                    121,                0.71813,                 1.2156,                 0.4697,                 1.0074,                0.94931,                0.89323,                0.94192,                0.81265,                0.94645,                0.88987,                  0.934,                0.74347,                0.62596,                 1.2548,                0.43299,                0.99159,                0.00406,                0.00406,                0.00406
                    122,                  0.716,                 1.2052,                0.46225,                 1.0039,                0.95081,                0.88953,                0.94119,                0.81343,                 0.9487,                0.88599,                 0.9337,                0.74425,                0.62797,                 1.2568,                0.43436,                0.99323,              0.0040105,              0.0040105,              0.0040105
                    123,                0.71082,                 1.2074,                0.46563,                0.99906,                 0.9483,                0.89145,                 0.9409,                0.81338,                0.94395,                0.88821,                0.93203,                0.74432,                0.62721,                 1.2575,                0.43514,                0.99299,               0.003961,               0.003961,               0.003961
                    124,                 0.7002,                 1.1978,                0.46083,                0.99867,                0.94761,                0.89452,                0.94108,                0.81275,                0.94788,                0.88883,                0.93227,                0.74472,                0.62631,                 1.2577,                0.43414,                0.99306,              0.0039115,              0.0039115,              0.0039115
                    125,                0.70666,                 1.2031,                0.45928,                 1.0016,                0.95143,                0.89136,                0.94049,                0.81413,                0.94794,                0.89012,                0.93273,                0.74565,                0.62643,                 1.2543,                0.43255,                0.99271,               0.003862,               0.003862,               0.003862
                    126,                0.70904,                 1.2075,                0.46109,                 1.0006,                0.94829,                0.89602,                0.94061,                0.81433,                0.94582,                0.89356,                0.93353,                0.74702,                0.62558,                 1.2569,                 0.4321,                0.99286,              0.0038125,              0.0038125,              0.0038125
                    127,                0.69766,                 1.1985,                0.45835,                0.99813,                0.95327,                0.89132,                0.94171,                0.81493,                0.94861,                0.89116,                0.93394,                0.74684,                0.62311,                 1.2537,                0.43112,                0.99091,               0.003763,               0.003763,               0.003763
                    128,                0.69487,                  1.182,                0.44896,                0.99128,                0.95593,                0.89012,                0.94234,                0.81557,                0.95288,                0.88728,                0.93361,                0.74807,                 0.6227,                  1.255,                0.43299,                 0.9913,              0.0037135,              0.0037135,              0.0037135
                    129,                 0.6942,                  1.178,                0.44806,                0.99519,                 0.9543,                0.88831,                0.94157,                0.81612,                 0.9519,                0.88521,                0.93425,                 0.7487,                0.62039,                  1.256,                0.43059,                0.99001,               0.003664,               0.003664,               0.003664
                    130,                 0.6956,                 1.1811,                0.45112,                0.99492,                  0.947,                 0.8962,                0.94235,                0.81605,                0.94297,                0.89343,                0.93342,                0.74837,                0.61919,                 1.2512,                0.42924,                  0.988,              0.0036145,              0.0036145,              0.0036145
                    131,                0.69901,                   1.18,                0.44705,                0.98953,                0.94957,                0.89575,                0.94268,                 0.8173,                0.94517,                0.89297,                0.93322,                0.74833,                0.61818,                  1.249,                0.42971,                0.98743,               0.003565,               0.003565,               0.003565
                    132,                0.68854,                 1.1739,                0.45016,                 0.9925,                0.94666,                0.89762,                0.94325,                0.81893,                0.94346,                0.89219,                0.93285,                0.75094,                0.61651,                 1.2486,                0.43028,                0.98674,              0.0035155,              0.0035155,              0.0035155
                    133,                0.69098,                 1.1841,                0.44596,                0.99119,                0.94687,                0.89736,                0.94209,                0.81841,                0.95509,                0.88108,                0.93237,                0.75056,                0.61672,                 1.2466,                 0.4322,                 0.9884,               0.003466,               0.003466,               0.003466
                    134,                 0.6814,                  1.168,                0.43978,                 0.9846,                0.94506,                 0.8971,                0.94218,                0.81926,                0.95623,                0.88133,                0.93324,                0.75155,                0.61462,                 1.2406,                0.43145,                0.98701,              0.0034165,              0.0034165,              0.0034165
                    135,                0.68689,                 1.1629,                0.44151,                0.99052,                0.95246,                0.89088,                0.94166,                0.81927,                0.95432,                0.88211,                0.93249,                0.75213,                0.61237,                 1.2409,                0.43176,                0.98585,               0.003367,               0.003367,               0.003367
                    136,                0.67653,                 1.1612,                0.43972,                0.98541,                0.95647,                0.88444,                0.94167,                0.81981,                 0.9534,                0.88185,                0.93373,                0.75287,                0.61149,                 1.2397,                0.42927,                0.98621,              0.0033175,              0.0033175,              0.0033175
                    137,                0.68839,                 1.1653,                0.44404,                0.98818,                 0.9547,                0.88909,                0.94185,                0.81992,                0.95241,                 0.8865,                0.93415,                0.75336,                0.61004,                 1.2358,                0.42725,                0.98531,               0.003268,               0.003268,               0.003268
                    138,                0.68501,                 1.1632,                0.44297,                 0.9856,                0.95938,                0.88546,                0.94112,                0.81904,                0.95744,                0.88392,                0.93426,                0.75332,                0.61052,                 1.2369,                0.42776,                0.98517,              0.0032185,              0.0032185,              0.0032185
                    139,                0.67434,                 1.1444,                0.43336,                 0.9794,                0.96242,                0.88263,                 0.9414,                0.81939,                0.95635,                0.88392,                0.93396,                0.75267,                 0.6094,                 1.2381,                 0.4269,                0.98511,               0.003169,               0.003169,               0.003169
                    140,                0.66777,                 1.1447,                 0.4351,                0.97872,                0.95991,                0.88547,                0.94114,                0.81942,                0.95777,                0.88366,                 0.9335,                0.75316,                0.60756,                 1.2391,                 0.4277,                0.98394,              0.0031195,              0.0031195,              0.0031195
                    141,                0.66806,                 1.1362,                0.43511,                0.97903,                0.95783,                0.88495,                0.94171,                0.81913,                0.95318,                0.88422,                0.93367,                0.75316,                0.60707,                 1.2396,                0.42732,                 0.9839,                0.00307,                0.00307,                0.00307
                    142,                0.66256,                 1.1341,                0.42481,                0.97671,                0.95882,                0.88488,                0.94102,                 0.8191,                0.95273,                0.88289,                 0.9331,                0.75299,                 0.6063,                 1.2379,                0.42732,                0.98325,              0.0030205,              0.0030205,              0.0030205
                    143,                0.65976,                 1.1232,                 0.4209,                 0.9733,                0.95895,                0.88211,                0.94131,                 0.8193,                 0.9552,                0.88203,                 0.9371,                0.75349,                0.60545,                 1.2364,                0.42715,                0.98204,               0.002971,               0.002971,               0.002971
                    144,                0.66279,                 1.1279,                0.42764,                0.97446,                0.96106,                0.88059,                0.94055,                0.81984,                0.94436,                0.89633,                 0.9391,                0.75377,                0.60628,                 1.2342,                0.42788,                0.98205,              0.0029215,              0.0029215,              0.0029215
                    145,                 0.6545,                 1.1224,                0.41957,                0.97259,                 0.9569,                0.88599,                0.94064,                0.81922,                 0.9573,                 0.8869,                0.94084,                0.75425,                0.60495,                 1.2316,                0.42751,                0.98116,               0.002872,               0.002872,               0.002872
                    146,                0.65575,                 1.1214,                0.42117,                0.97249,                0.95725,                0.88581,                0.94119,                0.81996,                0.95013,                0.89145,                0.93824,                0.75474,                0.60349,                 1.2325,                0.42774,                0.98072,              0.0028225,              0.0028225,              0.0028225
                    147,                 0.6586,                 1.1234,                 0.4207,                0.97355,                0.95753,                 0.8859,                0.94105,                0.82009,                 0.9515,                0.88756,                0.93409,                0.75397,                0.60189,                 1.2321,                0.42781,                0.97938,               0.002773,               0.002773,               0.002773
                    148,                0.65468,                 1.1296,                0.42117,                0.97239,                0.96371,                0.87884,                0.94085,                0.82161,                0.94963,                 0.8878,                0.93361,                0.75479,                0.60053,                 1.2306,                  0.428,                0.97902,              0.0027235,              0.0027235,              0.0027235
                    149,                 0.6592,                 1.1323,                0.42368,                0.97591,                0.96054,                0.88098,                0.94114,                0.82183,                0.94791,                0.88961,                0.93396,                0.75543,                0.59974,                 1.2304,                 0.4265,                0.97824,               0.002674,               0.002674,               0.002674
                    150,                0.65489,                  1.121,                0.42057,                0.97222,                0.95714,                 0.8834,                0.94176,                0.82201,                0.95399,                0.88456,                0.93408,                 0.7557,                0.59993,                 1.2283,                0.42599,                0.97843,              0.0026245,              0.0026245,              0.0026245
                    151,                0.64633,                 1.1068,                0.41549,                0.96968,                0.95745,                0.88418,                0.94129,                0.82189,                0.95565,                0.88579,                 0.9347,                0.75654,                0.59976,                 1.2288,                0.42378,                0.97855,               0.002575,               0.002575,               0.002575
                    152,                0.64531,                 1.1016,                0.41132,                 0.9651,                0.95916,                0.88314,                0.94151,                0.82186,                0.95404,                0.88553,                0.93426,                0.75695,                0.59998,                 1.2275,                0.42308,                0.97859,              0.0025255,              0.0025255,              0.0025255
                    153,                0.64175,                 1.1002,                0.41191,                0.96736,                0.96138,                0.88237,                 0.9413,                0.82185,                0.95555,                0.88375,                0.93409,                0.75773,                0.59851,                 1.2267,                0.42158,                 0.9781,               0.002476,               0.002476,               0.002476
                    154,                0.64286,                 1.1068,                0.41156,                0.96644,                0.95975,                0.88314,                0.94163,                0.82338,                0.95376,                0.88599,                0.93357,                0.75811,                0.59754,                 1.2269,                0.42181,                 0.9779,              0.0024265,              0.0024265,              0.0024265
                    155,                0.63672,                 1.0964,                0.40747,                0.96408,                0.95975,                0.88314,                0.94175,                0.82354,                0.95203,                0.88762,                0.93344,                 0.7584,                0.59685,                  1.225,                0.42107,                0.97788,               0.002377,               0.002377,               0.002377
                    156,                0.63972,                 1.0918,                0.40603,                 0.9627,                0.96081,                0.88289,                0.94165,                0.82348,                0.95684,                0.88274,                 0.9329,                0.75867,                0.59648,                 1.2245,                0.42072,                0.97748,              0.0023275,              0.0023275,              0.0023275
                    157,                0.63789,                 1.0888,                0.40426,                0.96209,                0.96317,                0.88314,                0.94175,                0.82425,                0.95745,                0.88434,                 0.9328,                0.75865,                0.59612,                 1.2238,                0.42005,                0.97802,               0.002278,               0.002278,               0.002278
                    158,                0.63129,                  1.087,                0.40863,                0.96194,                0.96367,                0.88453,                0.94201,                0.82445,                0.95936,                0.88392,                0.93337,                0.75961,                0.59534,                 1.2225,                0.41996,                0.97675,              0.0022285,              0.0022285,              0.0022285
                    159,                0.62756,                 1.0912,                0.40417,                0.96106,                0.96317,                0.88567,                0.94217,                0.82497,                0.95996,                0.88634,                0.93424,                0.75991,                0.59474,                 1.2228,                0.41933,                0.97598,               0.002179,               0.002179,               0.002179
                    160,                0.62625,                 1.0695,                 0.3999,                0.96066,                 0.9613,                0.88857,                0.94201,                0.82547,                0.95722,                 0.8878,                 0.9344,                0.76043,                0.59495,                 1.2214,                0.41943,                0.97737,              0.0021295,              0.0021295,              0.0021295
                    161,                0.62063,                 1.0686,                0.39596,                0.95404,                  0.961,                 0.8878,                0.94206,                 0.8254,                0.95809,                0.88646,                0.93447,                0.76091,                0.59372,                 1.2215,                0.41962,                0.97649,                0.00208,                0.00208,                0.00208
                    162,                 0.6305,                 1.0816,                0.40296,                0.95964,                0.96187,                0.88704,                0.94148,                0.82658,                0.95736,                0.88811,                0.93437,                 0.7613,                0.59358,                 1.2203,                0.41961,                0.97717,              0.0020305,              0.0020305,              0.0020305
                    163,                0.62526,                 1.0753,                0.39899,                0.95564,                0.96039,                0.88806,                0.94125,                0.82667,                0.95736,                0.88676,                0.93371,                0.76129,                0.59347,                 1.2195,                0.41877,                0.97762,               0.001981,               0.001981,               0.001981
                    164,                0.62595,                 1.0754,                0.40191,                0.95346,                0.95871,                0.88845,                0.94119,                0.82682,                0.95708,                0.88784,                0.93424,                0.76237,                 0.5928,                 1.2186,                0.41896,                 0.9773,              0.0019315,              0.0019315,              0.0019315
                    165,                0.61201,                 1.0468,                0.39069,                0.95404,                0.96003,                0.88797,                0.94111,                0.82695,                0.95761,                0.88831,                0.93437,                0.76237,                0.59191,                 1.2184,                 0.4181,                0.97656,               0.001882,               0.001882,               0.001882
                    166,                0.62222,                 1.0618,                0.39326,                0.95466,                0.96161,                0.88713,                0.94145,                0.82728,                0.95651,                0.88711,                0.93442,                0.76238,                0.59083,                 1.2191,                0.41783,                 0.9762,              0.0018325,              0.0018325,              0.0018325
                    167,                0.61148,                 1.0474,                0.38747,                0.94869,                0.96155,                0.88573,                0.94146,                0.82718,                  0.957,                0.88604,                 0.9349,                0.76321,                   0.59,                  1.219,                0.41718,                 0.9757,               0.001783,               0.001783,               0.001783
                    168,                0.61396,                 1.0556,                0.39113,                0.95299,                0.96232,                 0.8847,                0.94148,                0.82745,                0.95774,                0.88444,                0.93401,                0.76296,                0.58931,                 1.2185,                0.41704,                  0.975,              0.0017335,              0.0017335,              0.0017335
                    169,                0.61067,                 1.0633,                0.38775,                0.95118,                 0.9623,                0.88439,                0.94146,                0.82769,                0.95783,                0.88392,                0.93447,                0.76264,                0.58901,                 1.2186,                0.41677,                0.97514,               0.001684,               0.001684,               0.001684
                    170,                0.60452,                 1.0515,                0.38341,                 0.9472,                 0.9617,                0.88293,                0.94184,                0.82813,                 0.9574,                0.88324,                0.93419,                0.76303,                 0.5884,                 1.2195,                0.41686,                0.97468,              0.0016345,              0.0016345,              0.0016345
                    171,                0.60757,                 1.0524,                0.38649,                0.94966,                0.95961,                0.88454,                0.94188,                0.82881,                0.95602,                0.88444,                0.93444,                0.76333,                 0.5878,                 1.2197,                0.41684,                 0.9743,               0.001585,               0.001585,               0.001585
                    172,                0.60288,                 1.0496,                  0.382,                0.94597,                0.95988,                0.88289,                0.94186,                0.82898,                0.95665,                0.88432,                 0.9345,                0.76324,                0.58718,                 1.2192,                0.41704,                 0.9735,              0.0015355,              0.0015355,              0.0015355
                    173,                0.60388,                 1.0443,                0.38094,                0.94916,                0.95925,                0.88444,                0.94215,                0.82984,                0.95657,                0.88444,                0.93422,                0.76365,                0.58659,                 1.2183,                0.41706,                0.97319,               0.001486,               0.001486,               0.001486
                    174,                  0.597,                 1.0319,                   0.38,                0.94528,                0.95908,                0.88479,                0.94196,                0.82948,                0.95658,                0.88495,                0.93404,                0.76388,                0.58595,                 1.2177,                0.41667,                0.97293,              0.0014365,              0.0014365,              0.0014365
                    175,                 0.5983,                 1.0367,                0.38115,                0.94625,                0.95857,                0.88531,                0.94195,                0.83003,                0.95567,                0.88612,                0.93378,                 0.7638,                0.58475,                  1.217,                0.41611,                0.97241,               0.001387,               0.001387,               0.001387
                    176,                 0.5984,                 1.0388,                0.38045,                0.94446,                0.96137,                0.88314,                0.94192,                   0.83,                0.95566,                0.88604,                 0.9343,                0.76397,                0.58404,                 1.2153,                0.41504,                0.97196,              0.0013375,              0.0013375,              0.0013375
                    177,                0.58975,                 1.0302,                0.37697,                0.94196,                0.96133,                0.88211,                0.94144,                0.82998,                0.95205,                0.88961,                0.93419,                0.76402,                 0.5837,                  1.215,                0.41469,                0.97178,               0.001288,               0.001288,               0.001288
                    178,                0.58657,                 1.0294,                0.37772,                0.94028,                0.96138,                0.88181,                0.94095,                0.83014,                0.95666,                0.88458,                 0.9342,                 0.7646,                 0.5831,                 1.2151,                0.41483,                0.97154,              0.0012385,              0.0012385,              0.0012385
                    179,                0.58975,                 1.0216,                0.37559,                0.93876,                0.95627,                0.88758,                0.94113,                0.83021,                0.95499,                0.88547,                0.93408,                0.76409,                0.58252,                 1.2149,                0.41434,                0.97121,               0.001189,               0.001189,               0.001189
                    180,                0.59447,                 1.0266,                0.37696,                0.94357,                0.95719,                0.88702,                0.94167,                0.83028,                0.95511,                0.88559,                0.93393,                0.76469,                0.58233,                 1.2144,                0.41459,                0.97096,              0.0011395,              0.0011395,              0.0011395
                    181,                0.58561,                 1.0197,                0.37245,                0.93889,                0.95809,                0.88599,                0.94157,                0.83057,                0.95558,                0.88432,                0.93384,                0.76459,                0.58201,                 1.2148,                0.41404,                0.97075,                0.00109,                0.00109,                0.00109
                    182,                0.58757,                 1.0315,                0.37304,                0.94024,                0.95915,                0.88547,                0.94113,                0.83108,                0.95528,                0.88444,                0.93349,                0.76501,                0.58219,                 1.2144,                0.41378,                 0.9712,              0.0010405,              0.0010405,              0.0010405
                    183,                0.58584,                 1.0138,                0.37074,                0.94098,                 0.9563,                0.88813,                0.94116,                0.83057,                0.95405,                0.88569,                0.93323,                0.76503,                0.58205,                 1.2149,                0.41364,                0.97119,               0.000991,               0.000991,               0.000991
                    184,                0.58557,                 1.0155,                 0.3692,                0.93745,                0.95655,                0.88793,                0.94102,                0.83048,                0.95418,                0.88573,                  0.933,                0.76498,                 0.5819,                 1.2145,                0.41409,                0.97127,              0.0009415,              0.0009415,              0.0009415
                    185,                 0.5867,                 1.0214,                0.36888,                0.94441,                0.95641,                0.88831,                0.94102,                0.83117,                0.95447,                 0.8865,                0.93348,                0.76532,                0.58172,                 1.2143,                0.41421,                0.97149,               0.000892,               0.000892,               0.000892
                    186,                0.58311,                  1.015,                0.36832,                0.94013,                0.96314,                0.88159,                0.94081,                0.83097,                0.95325,                0.88625,                0.93289,                0.76522,                0.58155,                  1.214,                0.41424,                0.97168,              0.0008425,              0.0008425,              0.0008425
                    187,                0.57263,                 1.0081,                0.36794,                0.93546,                0.96196,                0.88257,                0.94075,                0.83098,                0.95279,                0.88707,                0.93312,                0.76543,                0.58156,                 1.2139,                0.41439,                0.97174,               0.000793,               0.000793,               0.000793
                    188,                0.57332,                 1.0041,                0.36334,                 0.9346,                0.96241,                0.88237,                0.94084,                0.83079,                0.95338,                0.88812,                0.93344,                0.76535,                0.58124,                 1.2139,                0.41419,                0.97164,              0.0007435,              0.0007435,              0.0007435
                    189,                0.57499,                 1.0092,                0.36021,                0.93523,                0.96246,                0.88237,                0.94086,                0.83095,                0.95387,                0.88733,                0.93337,                 0.7657,                0.58085,                 1.2135,                0.41427,                0.97141,               0.000694,               0.000694,               0.000694
                    190,                0.56618,                0.99288,                0.35637,                0.93193,                0.96317,                0.88211,                0.94082,                0.83107,                0.95408,                0.88631,                0.93342,                0.76601,                0.58037,                 1.2142,                0.41448,                0.97106,              0.0006445,              0.0006445,              0.0006445
                    191,                0.51117,                0.91257,                0.31241,                0.89728,                0.95764,                0.88676,                0.94063,                0.83118,                0.95432,                0.88588,                0.93347,                0.76597,                0.58019,                 1.2144,                0.41442,                0.97114,               0.000595,               0.000595,               0.000595
                    192,                0.49216,                 0.8897,                0.29896,                0.89147,                 0.9579,                0.88625,                0.94057,                0.83108,                0.95465,                0.88573,                0.93332,                0.76588,                0.57987,                  1.215,                0.41471,                0.97093,              0.0005455,              0.0005455,              0.0005455
                    193,                0.48988,                0.88275,                0.29946,                0.89008,                0.95799,                0.88625,                0.94046,                0.83152,                0.95574,                0.88469,                 0.9329,                  0.766,                0.57957,                 1.2149,                0.41451,                0.97101,               0.000496,               0.000496,               0.000496
                    194,                0.48533,                0.87961,                0.29827,                0.88769,                0.95784,                0.88573,                0.94039,                0.83158,                0.95517,                0.88521,                0.93304,                0.76636,                0.57931,                 1.2149,                0.41414,                0.97088,              0.0004465,              0.0004465,              0.0004465
                    195,                0.48356,                0.86846,                0.29483,                0.88565,                0.95767,                0.88625,                0.94035,                0.83205,                0.95507,                 0.8848,                0.93284,                0.76704,                0.57906,                 1.2151,                0.41412,                0.97075,               0.000397,               0.000397,               0.000397
                    196,                0.47487,                0.86334,                0.29075,                0.87897,                0.95808,                0.88623,                 0.9404,                0.83274,                0.95515,                0.88547,                0.93343,                0.76712,                0.57884,                 1.2144,                0.41422,                0.97086,              0.0003475,              0.0003475,              0.0003475
                    197,                0.47275,                0.85588,                0.28725,                0.88381,                0.95835,                0.88644,                0.94027,                 0.8325,                0.95479,                0.88573,                0.93359,                0.76738,                0.57863,                 1.2144,                 0.4141,                  0.971,               0.000298,               0.000298,               0.000298
                    198,                0.47288,                0.86455,                0.28902,                0.88377,                0.95759,                0.88676,                0.94035,                0.83253,                0.95434,                0.88628,                0.93374,                0.76778,                0.57857,                 1.2141,                0.41425,                 0.9712,              0.0002485,              0.0002485,              0.0002485
                    199,                0.46912,                0.85515,                0.28966,                 0.8815,                0.95983,                0.88547,                0.94066,                0.83307,                0.95513,                0.88604,                0.93368,                0.76807,                0.57811,                 1.2139,                0.41403,                0.97096,               0.000199,               0.000199,               0.000199
                    200,                0.46955,                0.85809,                0.28718,                0.88275,                0.96071,                0.88495,                0.94061,                0.83209,                0.95522,                0.88625,                0.93385,                0.76831,                0.57748,                 1.2128,                 0.4142,                0.97073,              0.0001495,              0.0001495,              0.0001495
